Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIL-1465;Не удается выполнить деплой casf-cession-bff;Высокий;Выполнено;22.04.2025;22.04.2025;<p>Выполнил build<br />https://sfera.inno.local/orchestration3/dashboard/ACRP/project/cb876615-a2b5-4310-b846-b12348dbec4e/builds/1084376<br />артефакт 0.0.107 появился в дистрибутивах ci<br /><br />при деплое в выпадающем списке версий нормальных не вижу.<br />https://sfera.inno.local/orchestration3/dashboard/ACRP/project/69d2e5c4-64a3-4c4b-8f49-268425364ca2</p>;devops_консультация,devops_support,devops_инструменты
CRFLOMNII-1794;Вопрос по ЦФТ(Переезд на Т1);Высокий;Выполнено;22.04.2025;22.04.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Подскажите пожалуйста, с учетом того что осуществляется переезд на Т1. Будут ли менятся хосты кафки в ЦФТ? И еще один вопрос, сейчас микросервис миграции и миграционный процессор, перешли на новые хосты подключения к кафки, бд и тд. которое требует подключения cisco vpn, каким образом тогда будет происходить взаимодействие с цфт, само цфт требует дев впн. То есть для того чтобы запустить МС необходимо использовать cisco, а чтобы зайти в ЦФТ необходим дев впн.</p>";devops_support,devops_консультация
CRFLOMNIL-1464;Необходима первичная настройка нового микросервиса acrp-credit;Критический;Выполнено;30.04.2025;22.04.2025;"<p>Создали новый микросервис acrp-credit https://sfera.inno.local/sourcecode/projects/ACRP/repos/acrp-credit/empty.</p>
<p>Необходима первичная внутренняя настройка мс для того, чтобы с ним можно было начать работать и деплоиться.&nbsp;<br />Подскажите какие шаги требуются от разработчика, и что можете сделать вы для его полноценного запуска ?</p>";devops_support,devops_консультация
CRFLOMNIB-2098;Создать топики, выдать ACL;Средний;Закрыто;22.04.2025;22.04.2025;"<p>Добрый день!&nbsp;<br />Прошу создать топики для точки подключения dvppcf-00kfp001.innodev.local:9092&nbsp;&nbsp;<br /><br />acrp_task_upload,<br />acrp_task_upload_receipt,<br />acrp_task_execute,<br />acrp_task_upload_error,<br />acrp_task_upload_retry<br /><br />и выдать ACL на эти топики для CN:&nbsp; 2197-kafka-st-client-acrp<br />Consumer, Producer&nbsp;</p>";devops_support,devops_cloud_настройка
CRFLOMNIG-1434;Не удается установить TLS соединение в 1830 на новом МС;Высокий;Выполнено;23.04.2025;22.04.2025;"<p>https://sfera.inno.local/sourcecode/projects/CRPR_DEPLOY/repos/devops_msa_deploy_inventory/code/browse/branch/feature%2Fcrpr-payment-enrollment/ - репозиторий с веткой, с которой происходил деплой.<br /><br />Джоба деплоя: https://sfera.test.vtb.ru/orchestration3/dashboard/CRPR/project/fff73251-82aa-47e1-a5ca-e6f1553d66fa/builds/1957693&nbsp;<br /><br />Возможно проблема с сертификатом ингресса, во вложении попробовал дёрнуть через Постман</p>";devops_support
CRFLOMNIE-1338;Ошибка при деплое crpr-background-process на дев стенд;Высокий;Выполнено;22.04.2025;22.04.2025;"<p>Джоба деплоя: https://sfera.inno.local/orchestration6/dashboard/CRPR/project/d94b4cd1-04db-46db-a3f8-8715a0292bc4/builds/1026369</p>
<p>Аналогичная ошибка при попытке посмотреть helm charts: https://sfera.inno.local/orchestration6/dashboard/CRPR/project/42057ff3-95e1-44f7-bebc-6f4f6728ea82/builds/1026393</p>
<p>&nbsp;</p>
<p>Кроме разбора этой ситуации научите, пожалуйста, как дебажить такие ситуации. Или улучшите логирование, например, добавив на основании чего создан тот или иной values файл.</p>";devops_support,devops_inventory_bug
CRFLOMNIG-1433;Devops. java.io.FileNotFoundException: /ingress-certificates/tls.crt (No such file or directory);Высокий;Выполнено;23.04.2025;21.04.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Помогите, пожалуйста, разобраться с проблемой: при деплойменте микросервиса 1830 crpr-formation-reference на стенде ИФТ не находится сертификат /ingress-certificates/tls.crt. При этом, в предыдущие деплойменты проблемы с сертификатом не было.</p>
<p>&nbsp;</p>
<p>Стенд: ИФТ</p>
<p>Номер ИС: 1830</p>
<p>МС: crpr-formation-reference</p>
<p>Оркестрация CDL: Оркестрация 3</p>
<p>Джоба Deploy:</p>
<p>&nbsp; &nbsp;msNames: &nbsp;crpr-formation-reference</p>
<p>&nbsp; &nbsp;version: 0.0.63</p>
<p>&nbsp; &nbsp;env: k3kuber</p>
<p>&nbsp; &nbsp;inventoryBranch: delivery/9b4fbbc1e226f3ef604f6aad7bb01273/dev</p>
<p>&nbsp;</p>
<p>На данный момент, чтобы деплой прошел успешно, мониторинг сертификатов был отключен. Чтобы его включить необходимо установить значение параметра retail.loan.monitoring.certificates.enabled в true</p>
<p>&nbsp;</p>
<p>Сертификат, который не находится: retail.loan.monitoring.certificates.certificates.resource: file:/ingress-certificates/tls.crt</p>
<p>&nbsp;</p>";devops_support,devops_консультация,devops_инструменты
CRFLOMNIL-1463;Не проставляется аппрув от чек бота;Высокий;Выполнено;21.04.2025;21.04.2025;<p>Создал пр<br />https://sfera.inno.local/sourcecode/projects/CASF/repos/casf-cession-deal/pulls/953646<br />Перехожу по JOB_URL, там все зеленое, но аппрува нет. Пробовал перезапускать, то же самое.</p>;devops_консультация,devops_support
CRFLOMNIJ-1130;Раскатка на НТ;Критический;Выполнено;21.04.2025;21.04.2025;"<p>1. Приоритет: Критический</p>
<p>2. ИС - 2197 (ACRP)</p>
<p>3. НТ</p>
<p>4. Добрый день!</p>
<p>При раскатке на НТ escrow и lc возникает ошибка подстановки из плейсхолдера<br />AUDIT_KAFKA_KEYSTORE_PASSWORD</p>
<p>Релизная ветка инвентори release/RL-T1-104035<br />Но у нас нигде не используется этот плэйсхолдер, а дефолтные spring-boot конфигурации отключены в values.yaml в default</p>
<p>Также дополнительно переопределил audit.yaml в k10, но не помогло<br />&nbsp;<br />Pulling docker.repo-cd.sfera.test.vtb.ru:4000/acrp-docker-uat-g/helm/spring-boot:~2.0.3 [2025-04-21 13:57:37.093] in /app/jenkins-agent/workspace/ACRP/CDP/K10/MICROSERVICES/Deploy/inventory/helmfile/modules/acrp-escrow/helmfile.yaml: failed processing release acrp-escrow: failed to render values files ""../../spring-boot/default/values.yaml.gotmpl"": failed to render [../../spring-boot/default/values.yaml.gotmpl], because of template: stringTemplate:2:3: executing ""stringTemplate"" at &lt;tpl (readFile $value) $&gt;: error calling tpl: template: stringTemplate:12:30: executing ""stringTemplate"" at &lt;.Values.secretEnvVars.AUDIT_KAFKA_KEYSTORE_PASSWORD&gt;: map has no entry for key ""AUDIT_KAFKA_KEYSTORE_PASSWORD""</p>";devops_support,devops_консультация
CRFLOMNIE-1331;Неподдерживаемая версия JDK;Высокий;Выполнено;21.04.2025;21.04.2025;"<p>МС crpr-backgroud-process</p>
<p>запустил джобу сборки: https://sfera.inno.local/orchestration6/dashboard/CRPR/project/dde9133e-b72a-48eb-876e-d0975be56736/builds/1023159</p>
<p>&nbsp;</p>
<p>В логах вижу docker.repo-ci.sfera.inno.local/crpr-docker-lib/ubi8/openjdk-11-runtime</p>
<p><br />Но в МС используется java 17, поэтому получаю ошибку: Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile (default-compile) on project crpr-background-process-overdue-payment-api: Fatal error compiling: error: release version 17 not supported -&gt; [Help 1]</p>";devops_support,devops_консультация
CRFLOMNIF-386;Доступ к Cloud.VTB Kubernetes на ИФТ Басова;Средний;Выполнено;30.04.2025;21.04.2025;"<p>Прошу предоставить доступ к Доступ к Cloud.VTB Kubernetes в test, region сегменте</p>
<p>Номер ИС: 2198<br />Стенд: ИФТ<br />Логин: vtb70264124</p>
<p>&nbsp;</p>
<p>Namespace: ifk8s-casf-af812c-casf</p>
<p>Для ссылки https://console.apps.ik7-kube03.test.vtb.ru/</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_cloud_доступ
CRFLOMNIJ-1129;Выгрузка данных для acrp-osrf-integration;Критический;Выполнено;21.04.2025;21.04.2025;"<p>1. Приоритет: Критический</p>
<p>2. ИС - 2197 (ACRP)</p>
<p>3. IFT</p>
<p>4. Добрый день!</p>
<p>Для проведения НТ прошу выгрузить данные из БД для сервиса acrp-osrf-integration на ИФТ и отправить на почту AhmetovDS@vtb.ru</p>";devops_support,devops_db
CRFLOMNIL-1460;Не удается пройти quality gate sca;Критический;Выполнено;22.04.2025;21.04.2025;<p>https://sfera.inno.local/orchestration3/dashboard/ACRP/project/5769533c-c9d4-459c-92b5-e9adcdfafea4/builds/1080080?stageId=112</p>;devops_консультация,devops_support,devops_инструменты
CRFLOMNIA-1808;Подключение ИС 1830 к СС  1609 стриминг данных в ПД на ИФТ;Высокий;Закрыто;20.06.2025;21.04.2025;"<p>Коллеги, нам по задаче &laquo;Стриминг в ПД из ИС 1830&raquo; в клауде для CRPR в ресурсах ОМНИ необходимо заказать ресурс Служебный сервис 1609 ""Стриминг в платформу данных"" через VTB.Cloud на ИФТ.<br />Необходимо оформить подключение ИС 1830 к Служебному сервису 1609 на ПРЕПРОД через VTB.Cloud.<br />Инструкция для самостоятельного подключения в VTB.Cloud на ИФТ https://docs.cloud.vtb.ru/home/prod-catalog/omni/streaming-to-platform_ift</p>
<p><br />Данные для подключения:</p>
<p>Наименование системы - ОПС Кредитные операции ФЛ</p>
<p>Идентификационный код системы - CRPR</p>
<p>Название потребителя (овнера) - crpr_admin<br />Тип подключения &ndash; Подключение с гарантированной доставкой<br />Количество партиций в топике: 3<br />ТУЗ вашей ИС: CRPR_EPA_K3@test.vtb.ru<br />CN: APD0081.0001.0048-1830-kafka-if-client-crpr-accounting<br />Rps (средний): &nbsp;50&nbsp;<br />Количество транзакций в KFK (Rps максимальный): 50&nbsp;<br />Размер сообщений в КБ (средний): &nbsp;10<br />Размер сообщений в КБ (максимальный): &nbsp;100</p>
<p><br />Если будут вопросы по инструкции добавления, то можно обратиться к Инчин Виталий Владимирович (4079383) - ООО ""ГК Иннотех"" &lt;vinchin@vtb.ru&gt;</p>
<p><br />Как заказ будет зарегистрирован, то прошу выслать id заказа.</p>";devops_support,devops_cloud_настройка
CRFLOMNIF-385;добавление прав в топики кафка на k3;Средний;Закрыто;06.11.2025;21.04.2025;"<p>KAFKA: ifppcf-kfc002lk.test.vtb.ru:9092,ifppcf-kfc003lk.test.vtb.ru:9092,ifppcf-kfc004lk.test.vtb.ru:9092<br /><br />Прошу добавить доступ с сертификатом:<br />CN APD00.00-2199-kafka-if-client-tsrt-router<br />ACL producer - write, describe; consumer - read, describe<br />к топикам:<br />int.ppcf.insurance.events.s1.v1, int.ppcf.insurance.events.s2.v1&nbsp;<br />и pub.ppcf.insurance.events.err.v1</p>";devops_support
CRFLOMNIA-1805;Сделать бэкап БД ;Высокий;Закрыто;10.06.2025;21.04.2025;<p>Бэкап БД</p>;devops_support,devops_db
CREDFLGRAF-8779;RTLL Необходимо расширить инвентори для контуров к4, к10, ПРОМ.;Средний;Выполнено;22.04.2025;21.04.2025;"<p>Сервис: rtll-dtc-etl-publisher, rtll-dtc-outbox-worker, rtll-dtc-outbox-housekeeper<br />Ветка инвентори: feature/dtc_publisher_update_invenoty_v2</p>
<p>На текущий момент в инвентори есть описание только для к3, но требуется расширение и для старших контуров по этим сервисам</p>";devops_support,devops_консультация
STRCRED-14510;Починить АТ 1366;Средний;Выполнено;21.04.2025;21.04.2025;<p>В автотестах на 1366 вернуть 11 Java в джобу, а то поменялось как-то и больше не работает, надобно вернуть.<br />Вот тут джоба: сфера - оркестрация 7 - цфт2 - Autotest - AutoTestForTeam</p>;devops_support,devops_консультация
CRFLOMNIL-2372;Не возможно залогиниться в кубер/нет namespaces у аккаунта;Высокий;Выполнено;07.10.2025;18.04.2025;"<p>Есть доступ до страницы логина https://auth.apps.dk1-ppcf01.innodev.local/auth/ldap/login?back=&amp;state=m36fgutwi3dfjpktklvewep7r , но при попытке залогиниться возникает ошибка что не верный пользователь и пароль</p>
<p>&nbsp;Логинюсь под DSukhanov@inno.tech</p>
<p>Удалось залогиниться вроде как под DSukhanov, без префикса inno.tech но там нет namespaces для моего аккаунта.&nbsp;</p>";devops_консультация,devops_support,devops_cloud_доступ
CRFLOMNIE-1329;DevOps. Хост и порт сервиса 2199 ppcf-loan-check на ИФТ и devbar;Средний;Закрыто;21.04.2025;18.04.2025;<p>Если хост и порт уже выделены, то просто озвучить их, если нет, то завести. Необходимо для добавление информации в inventory для ИФТ и devbar</p>;devops_инструменты,devops_support
CRFLOMNIA-1803;КОПИЯ Подключение СС  1609 стриминг данных в ПД на ПРЕПРОД;Средний;Закрыто;21.04.2025;18.04.2025;"<p>ИС 2199<br />стенд ПРЕПРОД</p>
<p>&nbsp;</p>
<p>Прошу в клауде для PPCF в ресурсах ОМНИ заказать ресурс Служебный сервис 1609 ""Стримнг в платформу данных"".</p>
<p>Если будут вопросы по инструкции добавления, то можно обратиться к Инчин Виталий Владимирович (4079383) - ООО ""ГК Иннотех"" &lt;vinchin@vtb.ru&gt;</p>";devops_support,devops_reject
CRFLOMNIL-1458;CASF DEV, ошибка deploy;Высокий;Выполнено;30.04.2025;18.04.2025;"<p>Добрый день.</p>
<p>не деплоится сервис на dev, джоба:</p>
<p>https://sfera.inno.local/orchestration3/dashboard/ACRP/project/6e0f01ae-0830-4e81-b030-5f50d398e63a/builds/1076296</p>
<p>Дополнительно лог во вложении</p>";devops_support,devops_консультация,devops_inventory_bug
CRFLOMNIF-384;Ошибка при деплое сервиса 2199 ;Средний;Выполнено;18.04.2025;18.04.2025;<p>При попытке раскатить сервис ppcf-orchestrator на дев версии 0.4.4 с веткой инвентори feature/CRFLOMNIE-1327 пода падает в ошибку не могу понять чего ему не хватает</p>;devops_support,devops_консультация,devops_inventory_bug
CRFLOMNIE-1328;DevOps. Права 2201 и 2199 на ИФТ;Средний;Закрыто;21.04.2025;18.04.2025;<p>Пропали права на оркестарцию и код 2201 и 2199, не могу ни инвентори протащить, ни сервис раскатить</p>;devops_инструменты,devops_support
CRFLOMNIH-3619;2200. DEV. Создать топики в T1 Cloud;Высокий;Закрыто;30.05.2025;18.04.2025;"<p>Требуется создать топики:</p>
<p>Длительность хранения сообщений для всех топиков 24 часа, количество партиций 1.</p>
<p>int.ppea.etag.v1<br />int.ppea.etag.v1-dlq</p>
<p>int.ppea.etag.v1-retry</p>
<p>int.ppea.etag-invalid-refresh.v1</p>
<p>int.ppea.etag-product-refresh.v1</p>
<p>Так же требуется прописать ACL по маске int.ppea и CN: APD0140-2200-dk-client-ppea на producer и consumer</p>
<p>&nbsp;</p>";devops_support,devops_cloud_настройка
CRFLOMNIL-1457;CASF DEV, прислать сертификаты кафка innodev;Высокий;Выполнено;30.04.2025;18.04.2025;"<p>Добрый день.</p>
<p>Прошу прислать keystore, truststore &amp; password для кафки http://dvppcf-00kfp001.innodev.local</p>
<p>почта iskrypnik@inno.tech</p>";devops_support,devops_консультация
CRFLOMNIE-1326;Добавить в группу develop-admin учетку vtb4054328;Средний;Выполнено;18.04.2025;18.04.2025;<p>Добавить в группу develop-admin учетку vtb4054328</p>;devops_support,devops_cloud_доступ
CRFLOMNIM-1144;Консультация по заведению МС;Высокий;Закрыто;07.05.2025;18.04.2025;"<p>Нам необходимо оставить один МС acrp-credit и провести удаление с acrp-correct<br />На текущий момент два репозитория<br />acrp-credit с пустым репозиторием&nbsp;<br />acrp-correct &nbsp;верхнеуровневые настройки devops автоматом создались при создании окружения в реестре МС<br />В реестре МС:<br />acrp-correct &nbsp;сейчас есть в реестре МС&nbsp;<br />acrp-credit сейчас в реестре МС нет<br />Как выполнить корректно шаги, что бы остался один МС acrp-credit с репозиторием и devops настройками&nbsp;<br />1. Переименовать в реестре МС + переименовать репозиторий acrp-correct на acrp-credit</p>
<p>Или<br />2. Создать в реестре МС новую карточку МС acrp-credit - с учетом что есть репозиторий acrp-credit корректно ли отработает кнопка ""Создать окружение"" для установки настроек</p>
<p>Или<br />Возможно необходимы другие действия, просьба написать</p>";devops_support,devops_консультация
CRFLOMNII-1792;Добавление топиков DEV контур;Высокий;Выполнено;18.04.2025;18.04.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Просьба добавить топики к CN: APD25.03-1366-kafka-d5-client-rtll</p>
<p>&nbsp;</p>
<p>Топики(С правами на запись и на чтение):<br />migrator_ppcf_in<br />migrator_ppcf_out</p>
<p>&nbsp;</p>
<p>Контур DEV<br />Хост: dvppcf-00kfp001.innodev.local:9092</p>
<p>&nbsp;</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNID-1511;Доступ к namespace в Kubernetes T1;Средний;Выполнено;18.04.2025;18.04.2025;"<p>Добрый день.</p>
<p>После переезда в T1 и получения сетевых доступов, для k8s отсутствуют доступы к неймспейсам - https://console.apps.dk1-ppcf01.innodev.local/k8s/<br />Необходимые неймспейсы:&nbsp;<br />dk1-ppcf01-ppcf-2051-dev<br />dk1-ppcf01-ppcf-devbar-ppcf-common</p>
<p>dk1-ppcf01-ppcf-devbar-ppcf-s01<br />Так же нет прав для https://console.privatecloud.inno.tech/<br />Моя учетная запись - Карпиевич Дмитрий Николаевич (4112194) - ООО ""ГК Иннотех"" (karpievich@dev.vtb.ru)<br />Логин иннотеха - DKarpievich_se</p>";devops_support,devops_cloud_доступ
CRFLOMNIK-1312;Подключение СС Журналирование для yapm.yaml микросервисов;Критический;Выполнено;11.07.2025;18.04.2025;"<p>ИС: 2199<br />Стенды: все стенды</p>
<p>Микросервисы:<br />ppcf-smart-replication-db-diff-worker ver-4.2.30.2</p>
<p>ppcf-total-cost-smart-replication-db-diff-worker ver-4.2.30.2</p>
<p>&nbsp;</p>
<p>Данные микросервисы разворачиваются из коробки, т.е. представляют из себя один yapm.yaml в нашем хранилище кода.</p>
<p>&nbsp;</p>
<p>Требуется подключить СС Журналирование к данным микросервисам.</p>
<p>&nbsp;</p>
<p>Основной вариант через logback.xml не подходит, так как в базовом образе отсутствуют необходимые зависимости.</p>
<p>Подключить новые зависимости для данного типа проекта в текущем CI/CD мы не можем технически. Есть задача в бэклоге DevOps (если не ошибаюсь CRFLDEVOPS-1200), но приоритет ее низкий.</p>
<p>&nbsp;</p>
<p>Из известных мне вариантов остается fluentbit.</p>
<p>&nbsp;</p>
<p>Отсюда вопросы.</p>
<p>&nbsp;</p>
<p>1. Работает ли способ подключения через fluentbit в рамках 2199 для всех контуров, включая ПРОД?</p>
<p>2. Если работает, то какие необходимые и достаточные настройки нужно сделать (какие конфиг файлы использовать, где указывать хосты, CN и т.д.)?</p>
<p>3. Стабильно ли работает данный подход? Нет ли каких-то ограничений? Можно ли его использовать на сегодня в ПРОДе?</p>
<p>4. Есть ли какие-то другие способы интеграции с СС Журналирование, помимо logback и fluentbit, которые мы могли бы использовать?</p>
<p>5. Если рабочих вариантов, кроме logback, нет, то как можно ускорить выполнение задачи CRFLDEVOPS-1200? Желаемые сроки исполнения&nbsp; -""вчера"". :)<br /><br />Спасибо.</p>";devops_support
CRFLOMNIL-1456;Не работает helm rollback;Критический;Выполнено;18.04.2025;18.04.2025;"<p>Нам нужно перекатить сервисы ppcf-cession-prod-processor и ppcf-general-cession-prod-processor с новым подключением к бд.</p>
<p><br />При попытке выполнить HelmUninstall получаю ошибку:</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/7931aa63-3be7-47c1-b4c9-def9f06aa605/builds/663615</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/7931aa63-3be7-47c1-b4c9-def9f06aa605/builds/663611<br /><br />Пробовал helmRollback, тоже не работает<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/35d72664-8909-4f45-9b13-774e37dbc622/builds/663596</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/15b2dc44-a421-4b87-8908-e425a350c412/builds/663630</p>
<p>&nbsp;</p>";devops_консультация,devops_support,devops_cloud_настройка
CRFLOMNII-1791;Доступ к k8s;Средний;Закрыто;21.04.2025;18.04.2025;<p>Прошу предоставить доступ к k8s на T1</p>;devops_support,devops_cloud_доступ
CRFLOMNIR-84;Отсутствие Wiremock в иннотех;Высокий;Закрыто;22.04.2025;17.04.2025;"<p>1. Приоритет: Высокий</p>
<p>2. ИС - 2197 (ACRP)</p>
<p>3. DEV</p>
<p>4. Сервис: acrp-escrow</p>
<p>Добрый день!</p>
<p>При выполнении запроса сервиса (GET http://wiremock:8080/inside/public/app/publicapi/rb/ppea/pp_retailEscrowProductInstance/detail?participantsPartyId=9357550042&amp;retailEscrowProductInstanceId=38b96a18-3b27-4d04-9a60-e1c7e260e479)</p>
<p>выходит ошибка<br />2025-04-17T10:30:05.662Z ERROR 1 --- [nio-8080-exec-2] r.v.r.s.e.c.GlobalRestErrorHandler &nbsp; &nbsp; &nbsp; : Ошибка при взаимодействии с удаленным сервисом</p>
<p>feign.RetryableException: wiremock executing GET http://wiremock:8080/inside/public/app/publicapi/rb/ppea/pp_retailEscrowProductInstance/detail?participantsPartyId=9357550042&amp;retailEscrowProductInstanceId=38b96a18-3b27-4d04-9a60-e1c7e260e479<br />&nbsp;В старом пространстве, в старом кубернетесе wiremock существовал, в иннотех wiremockа нет. Просьба обновить ссылку на wiremock.</p>";devops_support,devops_feat,devops_инструменты
CRFLOMNIM-1143;Создать топики в кафке на dev;Высокий;Закрыто;07.05.2025;17.04.2025;"<p>Нужно создать топики в кафке dev-kafka-main, а так же в devbar-kafka-main:</p>
<p>crpr-acrp-task-upload</p>
<p>pub.ppcf.product-data-stream.v1</p>
<p>&nbsp;</p>
<p>Так же просьба выдать права на топики</p>
<p>crpr-acrp-task-upload</p>
<p>pub.ppcf.product-data-stream.v1</p>
<p>sutp-to-ppcf</p>
<p>для CN APD00.00-2199-kafka-dk-client-ppcf</p>";devops_support,devops_cloud_настройка
CRFLOMNIU-309;2883. Миграция РНКБ в ПП. Создание топиков кафки;Высокий;Закрыто;22.04.2025;17.04.2025;"<p>Требуется создать 3 новых топика с дефолтными настройками в кластере кафки ifppcf-kfc002lk.test.vtb.ru:9092,ifppcf-kfc003lk.test.vtb.ru:9092,ifppcf-kfc004lk.test.vtb.ru:9092</p>
<p>&nbsp;</p>
<p>Топики, которые необходимо создать:</p>
<p>migrator_oofm_in<br />migrator_oofm_out</p>
<p>migrator_remote_in</p>
<p>&nbsp;</p>
<p>CN: APD0139-2199-kafka-if-client-ppcf</p>";devops_support,devops_cloud_настройка
CRFLOMNIF-382;Права на запись в топик;Средний;Закрыто;06.11.2025;17.04.2025;<p>Прошу добавить права на запись (ACL Producer - write) для CN APD0139-2199-kafka-if-client-ppcf в топик ins.v2.events кафка ifinsc-kfc002lk.test.vtb.ru:9092</p>;devops_support
CRFLOMNIB-2087;Выдать права для T1.cloud;Высокий;Выполнено;17.04.2025;17.04.2025;"<p>Добрый день,&nbsp;</p>
<p>Получил доступ к T1.Cloud и k8, но нет прав.</p>
<p>&nbsp;</p>
<p>1) нужно получить доступ к неймспейсам в кубере https://console.apps.dk1-ppcf01.innodev.local:<br />dkt-ppcf01-ppcf-acrp<br />dkt-ppcf01-ppcf-devbar-acrp-tech<br />dkt-ppcf01-ppcf-2051-dev</p>
<p>2) нужно получить полный(создание/редактирование топиков, БД) доступ к проектам в клауде Т1 https://console.privatecloud.inno.tech/:<br />dev,<br />devbar</p>
<p>&nbsp;</p>
<p>Мой инно логин: SeAUshakov</p>
<p>Заранее спасибо!</p>";devops_support,devops_консультация,devops_cloud_доступ
CRFLOMNIG-1432;Добавить в crpr-maven артефакт org.apache.activemq:artemis-jakarta-client;Средний;Выполнено;17.04.2025;17.04.2025;"<p>Для доработки модуля 1830 crpr-close-contract мне нужно использовать библиотеку УИП ru.vtb.uip.jms&nbsp; <strong>mq-jms-artemis-adapter</strong></p>
<p>При сборке последней версии 3.0.9 возникает ошибка:<br /><br />[ERROR] dependency: org.apache.activemq:artemis-jakarta-client:jar:3.0.9 (compile)<br /><br />Прошу добавить артефакты org.apache.activemq:<strong>artemis-jakarta-client</strong> последних версий в репозиторий <strong>crpr-maven</strong><br />&nbsp;</p>";devops_support,devops_консультация
CRFLOMNID1-63;Добавление прав на неймспейсы в k8s;Высокий;Закрыто;01.07.2025;17.04.2025;"<p>Просьба добавить права на неймспейсы в k8s для:</p>
<p>&nbsp;</p>
<p>Системы: 2199, 2197, 2198, 2200, 2201, 1830<br />Стенды: ДЕВ, ДЕВБАР, ИФТ</p>
<p>&nbsp;</p>
<p>Login:</p>
<p>DLyakhnitskiy (vtb4118063)</p>
<p>VSSazonov_in (vtb4118712)</p>
<p>akashapov (vtb4039875)</p>
<p>vkrivosheev (vtb4119853)</p>
<p>mozerov (vtb4057533)</p>";devops_support,devops_cloud_доступ
CRFLOMNIL-1455;Миграция данных в другую базу данных;Высокий;Выполнено;17.04.2025;17.04.2025;<p>Сервисы ppcf-cession-prod-processor и ppcf-general-cession-prod-processor сейчас подключаются на dev к бд dvppcf-00pgp006.innodev.local:5435<br /><br />Проблема в том, что мы не можем с локальных машин подключиться к этой бд из-за нестандартного порта.<br /><br />Прошу создать новую бд с портом 5432 и перемигрировать туда все данные с dvppcf-00pgp006.innodev.local:5435</p>;devops_консультация,devops_support,devops_db
CRFLOMNIG-1431;Создание БД под новый микросервис.;Высокий;Выполнено;18.04.2025;17.04.2025;"<p>Для нового мкс crpr-payment-enroll необходимо создат новую БД в контуре 1830</p>
<p>для стенда ИФТ ifcrpr-pgc001lk.test.vtb.ru:5432</p>
<p>&nbsp;</p>
<p>databaseName: crpr_pe_ift<br />&nbsp; databaseUserName: crpr_pe_ift_admin<br />&nbsp; databaseLiquibaseUserName: crpr_pe_ift_admin<br />&nbsp; databaseDefaultSchema: crpr_pe_ift<br />&nbsp; databaseLiquibaseSchema: liquibase_crpr_pe_ift</p>
<p>&nbsp;</p>";devops_support
CRFLOMNIL-1454;Требуется увеличить ресурсы для Кубера Namespace: dk1-ppcf01-ppcf-casf;Высокий;Закрыто;15.10.2025;16.04.2025;"<p>Требуется увеличить ресурсы для Кубера</p>
<p>ik7-kube03.test.vtb.ru</p>
<p>&nbsp;</p>
<p>Namespaces: ifk8s-casf-af812c-casf</p>
<p>&nbsp;</p>
<p>Переодически не запускается деплой из-за нехватки места для разварачивания.</p>
<p>&nbsp;</p>
<p>В данный момент используется:</p>
<p>requests.memory 13052Mi из 14Gi и любой МС более 1000 Mi не может развернуться(задеплоиться)</p>
<p>requests.cpu 5400m из 6</p>";devops_support,devops_cloud_настройка
CRFLOMNIE-1323;DevOps. Проверить CN в ACL на ИФТ;Средний;Закрыто;16.04.2025;16.04.2025;;devops_support
CRFLOMNIG-1430;Не отрабатывает деплой микросервиса crpr-payment-enroll;Критический;Выполнено;17.04.2025;16.04.2025;<p>Лог джобы деплоя https://sfera.test.vtb.ru/orchestration3/dashboard/CRPR/project/fff73251-82aa-47e1-a5ca-e6f1553d66fa/builds/1919652<br /><br /></p>;devops_support,devops_inventory_bug,devops_консультация
CRFLOMNIL-1453;Доступ к Cloud.VTB Kubernetes на ИФТ;Средний;Закрыто;22.04.2025;16.04.2025;"<p>Прошу предоставить доступ к Доступ к Cloud.VTB Kubernetes в test, region сегменте</p>
<p>Номер ИС: 2199<br />Стенд: ИФТ<br />Логин: vtb70207223</p>
<p>Доступ к сервисам и Namespace для PPCF: ifk8s-ppcf-39981e-ppcf, ifk8s-ppcf-521845-ppcf-s2, ifk8s-ppcf-521845-ppcf-s1</p>
<p>&nbsp;</p>
<p>Для ссылок: https://console.apps.ik7-kube04.test.vtb.ru/, &nbsp;https://console.apps.ik5-kube01.test.vtb.ru/&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_cloud_доступ
